namespace,expression_label,label,eyeRGT_ctrl.translateX,eyeRGT_ctrl.translateY,eyeRGT_ctrl.translateZ,eyeRGT_ctrl.rotateX,eyeRGT_ctrl.rotateY,eyeRGT_ctrl.rotateZ,eyeRGT_ctrl.scaleX,eyeRGT_ctrl.scaleY,eyeRGT_ctrl.scaleZ,eyeRGT_ctrl.lidFollow,eyeRGT_ctrl.lidTW,eyeRGT_ctrl.lidLR,eyeRGT_ctrl.upLidUD,eyeRGT_ctrl.loLidUD,eyeRGT_ctrl.upLidTW,eyeRGT_ctrl.loLidTW,eyeLFT_ctrl.translateX,eyeLFT_ctrl.translateY,eyeLFT_ctrl.translateZ,eyeLFT_ctrl.rotateX,eyeLFT_ctrl.rotateY,eyeLFT_ctrl.rotateZ,eyeLFT_ctrl.scaleX,eyeLFT_ctrl.scaleY,eyeLFT_ctrl.scaleZ,eyeLFT_ctrl.lidFollow,eyeLFT_ctrl.lidTW,eyeLFT_ctrl.lidLR,eyeLFT_ctrl.upLidUD,eyeLFT_ctrl.loLidUD,eyeLFT_ctrl.upLidTW,eyeLFT_ctrl.loLidTW,ebBshRGT_ctrl.ebUD,ebBshRGT_ctrl.ebOI,ebBshRGT_ctrl.ebTW,ebBshRGT_ctrl.ebInnerUD,ebBshRGT_ctrl.ebMidUD,ebBshRGT_ctrl.ebOuterUD,ebBshRGT_ctrl.ebInnerTW,ebBshLFT_ctrl.ebUD,ebBshLFT_ctrl.ebOI,ebBshLFT_ctrl.ebTW,ebBshLFT_ctrl.ebInnerUD,ebBshLFT_ctrl.ebMidUD,ebBshLFT_ctrl.ebOuterUD,ebBshLFT_ctrl.ebInnerTW,lipBshLFT_ctrl.crnrMouthUD,lipBshLFT_ctrl.crnrMouthOI,lipBshLFT_ctrl.puffOI,lipBshLFT_ctrl.upLipUD,lipBshLFT_ctrl.loLipUD,lipBshLFT_ctrl.upLipCrnrUD,lipBshLFT_ctrl.loLipCrnrUD,lipBshLFT_ctrl.lipsPartOI,lipBshLFT_ctrl.cheekUprUD,lipBshLFT_ctrl.cheekUprOI,lipBshLFT_ctrl.cheekLwrOI,lipBsh_ctrl.faceSqSt,lipBsh_ctrl.mouthUD,lipBsh_ctrl.mouthLR,lipBsh_ctrl.mouthTW,lipBsh_ctrl.upLipAllUD,lipBsh_ctrl.loLipAllUD,lipBsh_ctrl.upLipPullOI,lipBsh_ctrl.loLipPullOI,lipBsh_ctrl.upLipRollOI,lipBsh_ctrl.loLipRollOI,lipBsh_ctrl.lipsPress,lipBsh_ctrl.upLipUD,lipBsh_ctrl.loLipUD,lipBsh_ctrl.upLipCleftUD,lipBsh_ctrl.mouthU,lipBshRGT_ctrl.crnrMouthUD,lipBshRGT_ctrl.crnrMouthOI,lipBshRGT_ctrl.puffOI,lipBshRGT_ctrl.upLipUD,lipBshRGT_ctrl.loLipUD,lipBshRGT_ctrl.upLipCrnrUD,lipBshRGT_ctrl.loLipCrnrUD,lipBshRGT_ctrl.lipsPartOI,lipBshRGT_ctrl.cheekUprUD,lipBshRGT_ctrl.cheekUprOI,lipBshRGT_ctrl.cheekLwrOI
CHAR_STEPHANIETW_000,Angry,0,0,0,0,0,0,0,1,1,1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHAR_STEPHANIETW_000,Angry,0,0.5,-1.2,0.5,0,0,0.624326927022029,-1.17668896471896,-0.272440699061844,-0.55,-1.23,0.94,5.77,1.57888473642043,1.36,0,0,0,0,0,0,0,1,1,1,0.15,0,-4,-0.75,2.97,2.04,2.04,0,-7.79,0,-8.22,-4.51,-4.51,5.54,0,-7.28531249329448,0,-7.64140624597669,-4.17968749262393,-4.17968749262393,4.68499998390675,-0.58,-1.76,-1.67,4.88,0.84,4.6,1.17,0,6,4,-0.97,-0.286093748658895,-1.50468749798834,-1.67,4.74937500033528,0.709375000335276,4.10125000737608,0.680156253352761,0,5.40625,3.703125,-0.830468750167638,0,0,0,0,0,0,1,1,1,0.15,0,4,-0.52734375,2.90171874941327,1.85296875067055,2.01031249979045
CHAR_STEPHANIETW_000,Angry,0,0,-2.51,0,0,0,0.624326927022029,-1.17668896471896,-0.272440699061844,-0.55,-1.23,0,5.77,1.57888473642043,1.36,0,0,0,0,0,0,0,1,1,1,0.15,0,-4,0,2.74,1.41,1.94,0,-6.09,0,-4.25,-2.69,-2.69,2.66,0,-6.09,0,-4.25,-2.69,-2.69,2.66,0.41,-0.9,-1.67,4.44,0.4,2.92,-0.48,0,4,3,-0.5,0.41,-0.9,-1.67,4.44,0.4,2.92,-0.48,0,4,3,-0.5,0,0,0,0,0,0,1,1,1,0.15,0,4,0,2.74,1.41,1.94
CHAR_ANDREATW_000,Angry,0,0.5,-1.2,0,0,0,0,-3.59361110628941,-2.37550789196413,-1.4,-1.37,0,3.97,0.20888473642043,-1.14,0,0,0,0,0,0,0,1,1,1,0.15,0,-6.5,-0.808963807545415,2.74834818294463,0.47,1.64,-3.26299728641261,-7.85885425275392,0,-3.30753627774317,-1.16750784944479,0.250665336004794,4.14278220195224,-3.26299728641261,-8.32885425275392,0,-3.48753627774317,-1.72750784944479,-0.309334663995206,4.14278220195224,-0.383533130919484,1.2827794334996,-3.18319815428843,4.96708408772623,2.61896406056546,4.49509595301492,3.31050246494659,0,7,3,0,-0.723533130919483,1.7527794334996,-3.18319815428843,3.23708408772623,1.59896406056546,4.15509595301492,2.97050246494659,0,7,3,0,0,0,0,0,0,0,1,1,1,0.15,0,6.5,-1.37896380754541,2.85834818294463,0,1.64
CHAR_ANDREATW_000,Angry,0,0.923500030362598,-1.2,-0.52,0.57,-0.030143137711224,-5.8254595502007,-4.11903111493256,-3.9427015085293,-1.37255999248231,-1.67356514598938,0,3.95,2.57147961287601,0.749440173755603,0,0,0,0,0,0,0,1,1,1,0.15,0,-6.5,-1.71594625677297,3.03834818294463,-0.92,2.38981502481794,-4.55401573623026,-9.23034259038039,0,-4.37497793243783,-1.72265604303169,0.212771418546573,6.39131111709173,-4.55401573623026,-9.97034259038039,0,-4.50497793243783,-3.10265604303168,-0.477228581453427,6.39131111709173,-1.04737852854438,2.98739681359228,-3.52327139274848,8.26820325315222,4.21519454932825,4.15464083570742,7.17068778539338,0,8.31300001544952,6.62900428861048,0.498307868865971,-1.58709206123156,0.457396813592281,-3.51039869102193,4.93244178234703,3.08519454932825,2.91464083570742,3.74017218008236,0,6.94300001544952,7.37120353462046,0.498307868865971,0,0,0,0,0,0,1,1,1,0.15,0,6.5,-2.55594625677297,3.70834818294463,0,1.76981502481794
CHAR_ANDREATW_000,Angry,0,0.923500030362598,-1.2,0.43,-0.96,-0.030143137711224,-5.7854595502007,-4.11903111493256,-3.9427015085293,-1.37255999248231,-1.97356514598938,0,3.97,3.19147961287601,0.749440173755603,0,0,0,0,0,0,0,1,1,1,0.15,0,-6.5,-2.55594625677297,3.70834818294463,0,1.86981502481794,-4.55401573623026,-9.97034259038039,0,-4.50497793243783,-2.41265604303168,-0.477228581453427,6.39131111709173,-4.55401573623026,-9.53034259038039,0,-4.21497793243783,-1.85265604303169,0.082771418546573,4.02131111709173,-1.07737852854438,0.637396813592281,-3.52327139274848,6.96820325315221,4.22519454932825,5.91464083570742,6.06068778539338,0,6.76300001544952,7.20900428861048,0.498307868865971,-1.36709206123156,3.75739681359228,-3.51039869102193,8.61244178234703,4.18519454932825,4.58464083570742,5.73017218008236,0,7.22300001544952,6.88120353462046,0.498307868865971,0,0,0,0,0,0,1,1,1,0.15,0,6.5,-1.54594625677297,3.05834818294463,-1.44,2.50981502481794
CHAR_EMMATW_000,Angry,0,0.5,-1.2,0,0,1.13,0,-0.913611106289408,-0.485507891964127,-1.6,-1.71,0,2.42,-0.74111526357957,2.17,0,0,0,0,0,0,0,1,1,1,0.15,0,-6.5,1.19103619245459,1.39834818294463,0,1.64,-0.531671961671364,-6.09876305675354,0.079761006247794,-6.14820825348914,-4.08528740987711,-3.86152455154896,3.14246903859109,-4.84299728641261,-6.71885425275392,0,-1.66753627774317,-0.107507849444789,-0.689334663995206,3.71278220195224,-0.763533130919484,-1.5972205665004,-1.92319815428843,2.50708408772623,0.888964060565463,2.57509595301492,0.720502464946588,0,4.87,3,0,-1.05353313091948,-3.1572205665004,-1.92319815428843,1.35708408772623,-0.221035939434537,1.76509595301492,-0.229497535053412,0,3.78,1.91,0,0,0,0,0,0,0,1,1,1,0.15,0,6.5,-0.318963807545415,2.06834818294463,0,1.64
CHAR_EMMATW_000,Angry,0,0.5,-1.2,0,0,1.13,0,-0.913611106289408,-0.485507891964127,-1.6,-1.71,0,2.45,-0.71111526357957,2.17,0,0,0,0,0,0,0,1,1,1,0.15,0,-6.5,-0.318963807545415,2.06834818294463,0,1.64,-4.84299728641261,-6.71885425275392,0,-1.66753627774317,-0.107507849444789,-0.689334663995207,3.71278220195224,-0.531671961671364,-6.09876305675354,0.079761006247794,-6.14820825348914,-4.08528740987711,-3.86152455154896,3.14246903859109,-1.05353313091948,-3.1572205665004,-1.92319815428843,1.35708408772623,-0.221035939434537,1.76509595301492,-0.229497535053412,0,3.78,1.91,0,-1.07353313091948,-1.5972205665004,-1.92319815428843,1.80708408772623,0.188964060565463,2.57509595301492,0.720502464946588,0,4.87,3,0,0,0,0,0,0,0,1,1,1,0.15,0,6.5,1.19103619245459,1.39834818294463,0,1.64
CHAR_EMMATW_000,Angry,0,0.923500030362598,-1.2,0,0,0.229856862288776,-5.8354595502007,-2.18903111493256,-2.8927015085293,-1.37255999248231,-1.83356514598938,0,4.55,3.26147961287601,2.9294401737556,0,0,0,0,0,0,0,1,1,1,0.15,0,-6.5,0.31405374322703,3.35834818294463,-1.94,2.12981502481794,-5.81401573623027,-8.71034259038039,0,-4.23497793243783,1.06734395696832,-0.337228581453427,6.67131111709174,-5.81401573623027,-8.71034259038039,0,-5.34497793243783,-0.862656043031684,-1.64722858145343,8.86131111709174,-1.48709206123156,-0.412603186407719,-4.27039869102193,6.44244178234703,4.00519454932825,2.12464083570742,6.59017218008236,0,6.57300001544952,2.92120353462046,0.498307868865971,-1.40737852854438,-0.742603186407719,-3.43327139274848,4.41820325315221,3.51519454932825,1.77464083570742,5.53068778539338,0,5.43300001544952,1.79900428861048,0.498307868865971,0,0,0,0,0,0,1,1,1,0.15,0,6.5,-0.98594625677297,3.43834818294463,-0.57,2.60981502481794
CHAR_EMMATW_000,Angry,0,0.923500030362598,-1.2,0,0,0.229856862288776,-5.8354595502007,-2.18903111493256,-2.8927015085293,-1.37255999248231,-1.83356514598938,0,3.97,3.26147961287601,2.9294401737556,0,0,0,0,0,0,0,1,1,1,0.15,0,-6.5,-0.98594625677297,3.70834818294463,-0.57,1.81981502481794,-5.81401573623027,-8.71034259038039,0,-5.34497793243783,-0.862656043031685,-1.64722858145343,8.86131111709174,-5.81401573623027,-8.71034259038039,0,-4.23497793243783,1.06734395696832,-0.337228581453427,6.67131111709174,-1.40737852854438,-0.742603186407719,-3.43327139274848,4.41820325315221,3.51519454932825,1.77464083570742,5.53068778539338,0,5.43300001544952,1.79900428861048,0.498307868865971,-1.48709206123156,-0.41260318640772,-4.27039869102193,6.44244178234703,4.00519454932825,2.12464083570742,6.59017218008236,0,6.57300001544952,2.92120353462046,0.498307868865971,0,0,0,0,0,0,1,1,1,0.15,0,6.5,0.31405374322703,3.35834818294463,-1.94,2.12981502481794
CHAR_MIATW_000,Angry,0,0.5,-1.2,-0.88,0.48,0.63,-1.4,-1.08334424139811,-0.083779974521559,0.625764840762137,-1.80580402106953,0,2.53837099135945,1.22097348563061,-2.46326756452252,0,0,0,0,0,0,0,1,1,1,0.15,0,-5,-0.999478132700403,1.38412786647977,1.33392067099027,0.97272059065271,0,-4.48573130461673,-0.151577273941736,-4.68402877469821,-3.26382204795626,-3.58339764145488,4.9982589659161,0,-4.41573130461673,-0.151577273941736,-5.58338714476011,-4.1742476259567,-4.80832577047224,5.43133089497004,-0.568476253501022,-1.96779338650041,-1.26655553061059,2.80056278984571,2.17354700564696,2.36128558132996,0.511203906957393,0,3.94,2.07,0,-0.324828572123134,-2.28332009423026,-0.916123895072472,1.5368844755356,1.26653334762913,1.8914422948421,0.794366677932372,0,2.86376103106732,1.40128046678181,0,0,0,0,0,0,0,1,1,1,0.15,0,5,-1.24896380754541,1.96834818294463,2.23,1.93
CHAR_MIATW_000,Angry,0,0.5,-1.2,0.88,-0.48,0.63,-1.4,-1.08334424139811,-0.083779974521559,0.625764840762137,-1.80580402106953,0,2.53837099135945,1.22097348563061,-2.46326756452252,0,0,0,0,0,0,0,1,1,1,0.15,0,-5,-1.24896380754541,1.96834818294463,2.23,1.93,0,-4.41573130461673,-0.151577273941736,-5.58338714476011,-4.1742476259567,-4.80832577047224,5.43133089497004,0,-4.48573130461673,-0.151577273941736,-4.68402877469821,-3.26382204795626,-3.58339764145488,4.9982589659161,-0.324828572123134,-2.28332009423026,-0.916123895072472,1.5368844755356,1.26653334762913,1.8914422948421,0.794366677932372,0,2.23376103106732,1.29128046678181,0,-0.568476253501022,-1.96779338650041,-1.26655553061059,2.80056278984571,2.17354700564696,2.36128558132996,0.511203906957393,0,3.94,2.07,0,0,0,0,0,0,0,1,1,1,0.15,0,5,-0.999478132700403,1.38412786647977,1.33392067099027,0.97272059065271
CHAR_MIATW_000,Angry,0,1,-1.2,-0.5,0.5,0.63,-1.4,-2.03334424139811,-0.083779974521559,0.625764840762137,-1.80580402106953,0,2.53837099135945,1.22097348563061,-2.46326756452252,0,0,0,0,0,0,0,1,1,1,0.15,0,-5,-1.65594625677297,2.97834818294463,-1.38,2.20981502481794,0,-10.4911529813327,-0.155783415441765,-9.32384384643173,-5.68953900427272,-6.7492095587022,8.56770372851946,0,-8.4710690276791,-0.154336406624296,-8.77704122117712,-4.71824413882586,-5.63150117384114,7.71871978398231,-1.08669819184784,-1.06254493107725,-1.26655553061059,2.60213764158824,1.97512185738949,1.8106442099919,0.550562535619327,0,4.445102401433,2.575102401433,0.183673599336267,-1.35847625350102,-0.587793386500411,-1.26655553061059,3.90056278984571,3.27354700564696,2.28128558132996,1.84120390695739,0,4.71,2.84,0.28,0,0,0,0,0,0,1,1,1,0.15,0,5,-1.44593499071344,2.63088509685319,-0.188077494689469,2.113552260987
CHAR_OLIVIATW_000,Angry,0,0.5,-1.2,-0.5,0.5,1.13,0,-1.48361110628941,-0.485507891964127,-1.5,-1.5,0,3.57,0.39888473642043,2.17,0,0,0,0,0,0,0,1,1,1,0.15,0,-6,-0.635171046036332,1.8206785463557,0.712,1.312,-0.004069569969331,-6.096,0.031156683088353,-5.4530064722728,-3.43035152002964,-3.8323591450239,3.34200042589766,0,-7.62,0,-5.75753627774317,-4.19750784944479,-4.77933466399521,3.71278220195224,-1.21292520171544,-3.45603994461069,-1.26655553061059,2.44056278984571,0.913547005646963,1.39128558132997,0.781203906957393,0,5,5,-1,-0.88434016137235,-3.46083195568856,-1.01324442448847,0.990450231876564,-0.23116239548243,1.23902846506397,0.750963125565915,0,4.1,4.1,-0.8,0,0,0,0,0,0,1,1,1,0.15,0,6,-1.20896380754541,2.06834818294463,0.09,1.64
CHAR_OLIVIATW_000,Angry,0,0.923500030362598,-3.07,0,0,0.229856862288776,-3.99,-4.88903111493256,-5.4427015085293,-1.6,-1.6,0,5.44,7.08147961287602,2.9294401737556,0,0,0,0,0,0,0,1,1,1,0.15,0,-6.5,-2.15594625677297,3.70834818294463,-1.45,1.85981502481794,-5.81401573623027,-9.41034259038039,0,-3.43497793243783,0.097343956968316,-0.687228581453427,4.79131111709174,-5.81401573623027,-9.41034259038039,0,-3.08497793243783,1.78734395696832,0.632771418546573,4.79131111709174,-0.216770599340332,-3.46142256451802,-9.5037560673441,4.62168195527169,5.91977749440975,2.63083046402246,7.35138922740419,0,6,6,-2,-0.98648413202751,-2.27142256451802,-9.5037560673441,7.2059204844665,5.47977749440975,4.58083046402246,7.19087362209317,0,7,7,-0.8,0,0,0,0,0,0,1,1,1,0.15,0,6.5,-1.79594625677297,3.31834818294463,-1.45,1.85981502481794
CHAR_STEPHANIETW_000,Confident,1,0,-0.202019227081284,-0.5,0.8,0.11306871571797,0.386950934902082,-0.572000142148754,-0.572000142148754,-1.27,-0.86,-2.18,1.19968838708441,1.87970695335846,-0.456518510215688,0,0,0,0,0,0,0,1,1,1,0.15,0,0,-0.22,2.57,1.35,1.79,0,-1.73534590929915,0,-6.85520214026395,-2.64027540559187,-4.23,6.47448223908674,0,-3.68687257008591,0,-6.89135857100849,-5.14513726432249,-5.11320140245515,5.76182754071728,1.51727359414657,1.65894267126235,-0.001177343378958,0.815244057161348,0.66496188015207,-0.020898329528498,-0.404983401419218,0,5,3,-1.83267643381824,0.780010684731716,0.407986671511214,-0.0011652746944,0.972740308635912,0.899015553034984,0.922544742353051,1.03663645982517,0,3,2,-0.846042699334218,0,0,0,0,0,0,1,1,1,0.15,0,0,-0.27,2.71,2.31,1.41
CHAR_ANDREATW_000,Confident,1,0.675935844361187,-2.14728143329335,0.135199043262521,0.261707987469332,0,0,-1.78343774065162,-1.95241701209236,-0.928770603981003,-1.02321677774144,0,3.85875977276449,5.07231177084066,0.856427969074542,0,0,0,0,0,0,0,1,1,1,0.15,-2,-3,-0.928977892643989,2.76163200782558,2.95987204766652,1.32980142868797,-3.66351539865426,-7.42198771931041,0,0.620285485026054,-0.576257049234381,0,0.074952407784908,-3.99418954636918,-7.42198771931041,0,0.681941986650489,3.8613348990923,0,2.17139218859484,3.37127710305002,2.75422624457428,-0.000680703644933,3.51373718924517,3.14579678042759,-0.082058342192136,0.725027630613041,0,6.02118941916018,3.18964368565772,-0.000331682603174,4.80370398071034,2.74194553551157,-0.000677045215469,4.57644501818628,4.53882263209824,2.11282744788988,2.07312141531222,0,6.61368476299055,3.31735712097046,-0.000329899981005,0,0,0,0,0,0,1,1,1,0.15,1.9314149037503,2.89712235562545,-0.088547736522363,2.38687344825031,2.99636810118483,1.28419914919819
